club_id,name,league,league_id,country,rating,attack_rating,midfield_rating,defense_rating,stadium,manager,manager_id,manager_url,club_worth,starting_xi_avg_age,whole_team_avg_age,rival_team,players_count,top_players,club_logo,country_flag,url
18,Tottenham Hotspur,Premier League,13,England,81,79,81,81,Tottenham Hotspur Stadium,thomas frank,24427744,https://sofifa.com/coach/24427744/thomas-frank/,€2.4B,25.73,24.45,Arsenal,29,"79 B. Johnson, 75 W. Odobert, 78 Richarlison, 83 X. Simons, 77 M. Tel",https://cdn.sofifa.net/meta/team/6/120.png,https://cdn.sofifa.net/flags/gb-eng.png,https://sofifa.com/team/18/tottenham-hotspur/
22,Borussia Dortmund,Bundesliga,19,Germany,81,83,80,82,Signal Iduna Park,andreas patz,37554017,https://sofifa.com/coach/37554017/andreas-patz/,€1.7B,26.27,25.29,FC Bayern München,28,"87 S. Guirassy, 79 Fábio Silva, 79 M. Beier, 81 K. Adeyemi, 83 J. Brandt",https://cdn.sofifa.net/meta/team/68/120.png,https://cdn.sofifa.net/flags/de.png,https://sofifa.com/team/22/borussia-dortmund/
47,AC Milan,Serie A,31,Italy,81,82,79,78,Waldstadion,marco landucci,38201535,https://sofifa.com/coach/38201535/marco-landucci/,€1.3B,26.18,25.39,Inter,23,"84 Rafael Leão, 79 S. Giménez, 65 D. Bartesaghi, 81 C. Nkunku, 79 P. Estupiñán",https://cdn.sofifa.net/meta/team/113/120.png,https://cdn.sofifa.net/flags/it.png,https://sofifa.com/team/47/ac-milan/
48,Napoli,Serie A,31,Italy,81,79,82,80,Stadio Diego Armando Maradona,antonio conte,455384,https://sofifa.com/coach/455384/antonio-conte/,€562.6M,28.73,27.07,Juventus,28,"81 David Neres, 80 N. Lang, 77 E. Elmas, 77 R. Højlund, 75 L. Lucca",https://cdn.sofifa.net/meta/team/597/120.png,https://cdn.sofifa.net/flags/it.png,https://sofifa.com/team/48/napoli/
2,Aston Villa,Premier League,13,England,80,83,81,80,Villa Park,unai emery etxegoien,455907,https://sofifa.com/coach/455907/unai-emery-etxegoien/,€800M,27.45,26.54,West Bromwich Albion,24,"83 O. Watkins, 85 Y. Tielemans, 78 E. Buendía, 77 R. Barkley, 78 H. Elliott",https://cdn.sofifa.net/meta/team/15/120.png,https://cdn.sofifa.net/flags/gb-eng.png,https://sofifa.com/team/2/aston-villa/
5,Chelsea,Premier League,13,England,80,80,82,80,Stamford Bridge,enzo maresca,107439,https://sofifa.com/coach/107439/enzo-maresca/,€2.3B,24.45,22.67,Arsenal,30,"80 João Pedro, 71 Marc Guiu, 78 L. Delap, 87 C. Palmer, 75 F. Buonanotte",https://cdn.sofifa.net/meta/team/18/120.png,https://cdn.sofifa.net/flags/gb-eng.png,https://sofifa.com/team/5/chelsea/
11,Manchester United,Premier League,13,England,80,82,80,79,Old Trafford,ruben filipe marques amorim,158158,https://sofifa.com/coach/158158/ruben-filipe-marques-amorim/,€5.7B,25.36,24.73,Liverpool,26,"83 Matheus Cunha, 80 B. Šeško, 77 J. Zirkzee, 65 C. Obi, 85 B. Mbeumo",https://cdn.sofifa.net/meta/team/14/120.png,https://cdn.sofifa.net/flags/gb-eng.png,https://sofifa.com/team/11/manchester-united/
45,Juventus,Serie A,31,Italy,80,81,80,80,Juventus Arena,luciano spalletti,523897,https://sofifa.com/coach/523897/luciano-spalletti/,€1.8B,25.09,25.96,Torino,26,"81 D. Vlahović, 81 J. David, 82 L. Openda, 78 A. Milik, 80 K. Yıldız",https://cdn.sofifa.net/meta/team/625/120.png,https://cdn.sofifa.net/flags/it.png,https://sofifa.com/team/45/juventus/
52,Roma,Serie A,31,Italy,80,77,79,80,Stadion Olympik,gian piero gasperini,456038,https://sofifa.com/coach/456038/gian-piero-gasperini/,€478.5M,25.73,25.07,Lazio,28,"73 E. Ferguson, 82 A. Dovbyk, 86 P. Dybala, 74 T. Baldanzi, 79 M. Soulé",https://cdn.sofifa.net/meta/team/37/120.png,https://cdn.sofifa.net/flags/it.png,https://sofifa.com/team/52/roma/
325,Galatasaray SK,Süper Lig,68,Türkiye,80,84,80,79,RAMS Park,okan buruk,199988,https://sofifa.com/coach/199988/okan-buruk/,€305M,28.18,26.50,Fenerbahçe SK,26,"87 V. Osimhen, 81 M. Icardi, 83 İ. Gündoğan, 80 Gabriel Sara, 60 G. Gürpüz",https://cdn.sofifa.net/meta/team/34/120.png,https://cdn.sofifa.net/flags/tr.png,https://sofifa.com/team/325/galatasaray-sk/
